player_name,avg_swing_length,avg_bat_speed,woba_value,cluster
"Báez, Javier",8.580819627118643,73.63706627440679,0.2170391061452514,1
"Caballero, José",6.768580122249389,66.40934280751101,0.31808943089430897,3
"Cabbage, Trey",7.772199294117647,73.74800456636471,0.33039215686274515,1
"Cabrera, Oswaldo",6.733097078313253,66.22414048526204,0.2607329842931937,3
"Calhoun, Willie",6.577387153846154,68.0979531251923,0.3243975903614458,3
"Call, Alex",6.460074166666666,63.292049055854164,0.42045454545454547,2
"Camargo, Jair",8.03032875,76.4328376875,0.13999999999999999,1
"Cameron, Daz",6.664733676470588,69.91336557727942,0.2513888888888889,0
"Campusano, Luis",7.357605592105264,67.33575389615132,0.28788659793814436,3
"Canario, Alexander",7.920541249999999,74.41261077925,0.358,1
"Candelario, Jeimer",7.68842936416185,66.28090810086705,0.33428571428571424,3
